project_name,district,market_segment,tenure,lease_start_year,transaction_count,median_psf,avg_psf_5yr_ago,appreciation_1yr,appreciation_3yr,appreciation_5yr,annualized_appreciation,resale_annualized_appreciation,new_sale_proportion,has_new_launch_bias,appreciation_momentum,data_coverage,source,updated
PARK PLACE RESIDENCES AT PLQ,,,,,104,,1984.1666666666667,2.470245089230172,7.659850300865911,16.74926501469971,3.1456295758844233,,0.0,False,,,ura_5yr_cagr,2026-02-06
Seventy St Patrick's,,,,,,,,,,,,,0.0,False,,,,2026-02-06
ONE BERNAM,D02,Core Central Region,99 yrs lease commencing from 2019,2019,285,2587.0,2570.0,2.475737769855413,-1.5413891531874446,0.6614785992217875,0.13194705957022546,-3.2548516269717664,0.979,True,0.469,5yr,ura_5yr_cagr,2026-06-07
NEWPORT RESIDENCES,D02,Core Central Region,Freehold,,192,3072.0,,,,,,,1.0,True,,none,ura_data,2026-06-07
ICON,D02,Core Central Region,99 yrs lease commencing from 2002,2002,137,1755.0,1692.0,-2.527075812274371,-5.998928762720945,3.7234042553191404,0.7338313565704135,0.7338313565704135,0.0,False,-0.652,5yr,ura_5yr_cagr,2026-06-07
SKYSUITES@ANSON,D02,Core Central Region,99 yrs lease commencing from 2008,2008,97,2303.0,2256.0,1.902654867256648,-2.908937605396289,2.083333333333326,0.4132372241226756,0.4132372241226756,0.0,False,0.298,5yr,ura_5yr_cagr,2026-06-07
SKY EVERTON,D02,Rest of Central Region,Freehold,,71,2992.0,2783.0,5.9115044247787685,6.174591909155436,7.509881422924902,1.458789524815507,3.0553658335832123,0.465,True,0.891,5yr,ura_5yr_cagr,2026-06-07
SPOTTISWOODE RESIDENCES,D02,Rest of Central Region,Freehold,,66,2123.0,2082.0,-8.353118929419379,-7.2520751419833935,1.9692603266090236,0.3907858349463611,0.3907858349463611,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
SPOTTISWOODE PARK,D02,Rest of Central Region,99 yrs lease commencing from 1973,1973,59,993.0,1009.0,-8.310249307479223,7.817589576547235,-1.5857284440039643,-0.3191766709735977,-0.3191766709735977,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
76 SHENTON,D02,Core Central Region,99 yrs lease commencing from 2007,2007,53,2002.0,1850.5,-3.0977734753146136,2.012738853503193,8.18697649283977,1.5862658736380375,1.5862658736380375,0.0,False,-0.937,5yr,ura_5yr_cagr,2026-06-07
SPOTTISWOODE 18,D02,Rest of Central Region,Freehold,,52,2439.0,2224.0,4.543506215173587,2.7379949452400965,9.66726618705036,1.8627515916039172,1.8627515916039172,0.0,False,0.536,5yr,ura_5yr_cagr,2026-06-07
WALLICH RESIDENCE,D02,Core Central Region,99 yrs lease commencing from 2011,2011,49,2771.5,3252.0,-16.268882175226583,-9.752523607945296,-14.775522755227556,-3.147046439299439,-3.147046439299439,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
SPOTTISWOODE SUITES,D02,Rest of Central Region,Freehold,,43,2249.0,2059.0,-4.0529010238907865,-8.091540662035147,9.227780475959202,1.780978498662944,1.780978498662944,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
LUMIERE,D02,Core Central Region,99 yrs lease commencing from 2006,2006,42,1622.0,1842.0,-11.414527580557078,-6.8886337543053955,-11.943539630836053,-2.5117566643864886,-2.5117566643864886,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
ALTEZ,D02,Core Central Region,99 yrs lease commencing from 2008,2008,36,2194.0,2088.0,-1.3489208633093552,11.710794297352333,5.076628352490431,0.9953144675370673,0.9953144675370673,0.0,False,-0.469,5yr,ura_5yr_cagr,2026-06-07
INTERNATIONAL PLAZA,D02,Core Central Region,99 yrs lease commencing from 1970,1970,33,1223.0,1142.0,6.071118820468335,-3.624901497241928,7.092819614711043,1.3799495166383347,1.3799495166383347,0.0,False,0.938,5yr,ura_5yr_cagr,2026-06-07
EON SHENTON,D02,Core Central Region,99 yrs lease commencing from 2011,2011,26,2220.0,,3.0162412993039345,1.3698630136986356,,,-2.082805914289909,0.0,False,0.512,3yr,ura_data,2026-06-07
DORSETT RESIDENCES,D02,Rest of Central Region,99 yrs lease commencing from 2009,2009,16,2230.0,2073.0,-2.7898866608544015,4.5230841340520245,7.573564881813799,1.470806496990873,1.470806496990873,0.0,False,-0.852,5yr,ura_5yr_cagr,2026-06-07
THE ARRIS,D02,Rest of Central Region,Freehold,,16,2335.5,1958.0,2.794894366197176,4.989885367498315,19.279877425944836,3.588951393615014,3.588951393615014,0.0,False,-0.159,5yr,ura_5yr_cagr,2026-06-07
THE BEACON,D02,Rest of Central Region,99 yrs lease commencing from 2004,2004,16,1776.0,1497.0,-3.0038230475150196,8.62385321100918,18.637274549098205,3.477096029432758,3.477096029432758,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
