Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE CONTINUUM,"5,473,000","2,034.4","2,690",May-26,THIAM SIEW AVENUE,New Sale,Strata,189,"28,958",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
PINEHURST CONDOMINIUM,"2,450,000","1,528.49","1,603",May-26,LORONG L TELOK KURAU,Resale,Strata,142,"17,254",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE CONTINUUM,"3,753,000","1,248.62","3,006",May-26,THIAM SIEW AVENUE,New Sale,Strata,116,"32,353",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
TIERRA VUE,"1,980,000",947.23,"2,090",May-26,ST. PATRICK'S ROAD,Resale,Strata,88,"22,500",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
COTE D'AZUR,"2,050,000","1,151.75","1,780",May-26,MARINE PARADE ROAD,Resale,Strata,107,"19,159",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,06 to 10
EASTWIND MANSIONS,"2,000,000","1,345.5","1,486",May-26,JOO CHIAT TERRACE,Resale,Strata,125,"16,000",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AMBER PARK,"3,800,000","1,302.44","2,918",May-26,AMBER GARDENS,Resale,Strata,121,"31,405",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE CONTINUUM,"3,555,000","1,237.86","2,872",May-26,THIAM SIEW AVENUE,New Sale,Strata,115,"30,913",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
THE MEYERISE,"3,580,000","1,280.92","2,795",May-26,MEYER ROAD,Resale,Strata,119,"30,084",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
11 AMBER ROAD,"3,510,000","1,506.96","2,329",May-26,AMBER ROAD,Resale,Strata,140,"25,071",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
AMBER 45,"3,118,000","1,130.22","2,759",May-26,AMBER ROAD,Resale,Strata,105,"29,695",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
POSHGROVE EAST,"2,680,000","1,431.61","1,872",May-26,EAST COAST ROAD,Resale,Strata,133,"20,150",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
BUTTERWORTH 8,"2,580,000","1,313.21","1,965",May-26,BUTTERWORTH LANE,Resale,Strata,122,"21,148",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
EAST PALM,"2,100,000","1,162.51","1,806",May-26,PALM ROAD,Resale,Strata,108,"19,444",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
ASPEN LOFT,"1,620,000","1,011.82","1,601",May-26,JOO CHIAT TERRACE,Resale,Strata,94,"17,234",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
COTE D'AZUR,"2,198,000","1,108.69","1,983",May-26,MARINE PARADE ROAD,Resale,Strata,103,"21,340",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,16 to 20
THE ESPIRA,"1,850,000","1,054.87","1,754",May-26,LORONG L TELOK KURAU,Resale,Strata,98,"18,878",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE CONTINUUM,"3,649,000","1,302.44","2,802",May-26,THIAM SIEW AVENUE,New Sale,Strata,121,"30,157",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
THE CONTINUUM,"4,515,000","1,689.95","2,672",May-26,THIAM SIEW AVENUE,New Sale,Strata,157,"28,758",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
PEBBLE BAY,"4,310,000","2,335.79","1,845",May-26,TANJONG RHU ROAD,Resale,Strata,217,"19,862",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
CANARY VILLE,"1,780,000","1,087.16","1,637",May-26,LORONG J TELOK KURAU,Resale,Strata,101,"17,624",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
HAIG COURT,"2,168,000","1,076.4","2,014",May-26,HAIG ROAD,Resale,Strata,100,"21,680",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
PARADISE PALMS,"2,538,000","1,184.04","2,144",May-26,DUNMAN ROAD,Resale,Strata,110,"23,073",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
SANCTUARY GREEN,"2,300,000","1,356.26","1,696",May-26,TANJONG RHU ROAD,Resale,Strata,126,"18,254",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,11 to 15
MERIDIAN 38,"1,828,000","1,151.75","1,587",May-26,LORONG M TELOK KURAU,Resale,Strata,107,"17,084",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
HAIG COURT,"3,090,000","1,453.14","2,126",May-26,HAIG ROAD,Resale,Strata,135,"22,889",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
16 @ AMBER,"830,000",419.8,"1,977",May-26,AMBER ROAD,Resale,Strata,39,"21,282",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
THE CONTINUUM,"1,480,000",559.73,"2,644",May-26,THIAM SIEW AVENUE,New Sale,Strata,52,"28,462",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
PALM OASIS,"1,310,000",742.72,"1,764",May-26,LORONG H TELOK KURAU,Resale,Strata,69,"18,986",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
PALM GALLERIA,"1,600,000","1,001.05","1,598",May-26,LORONG K TELOK KURAU,Resale,Strata,93,"17,204",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
HAIG COURT,"3,250,000","1,442.38","2,253",May-26,HAIG ROAD,Resale,Strata,134,"24,254",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE SERENNIA,"500,000",645.84,774,May-26,PULASAN ROAD,Resale,Strata,60,"8,333",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MANDARIN GARDENS,"970,000",731.95,"1,325",May-26,SIGLAP ROAD,Resale,Strata,68,"14,265",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,11 to 15
LAGOON VIEW,"1,890,888","1,646.89","1,148",May-26,MARINE PARADE ROAD,Resale,Strata,153,"12,359",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,01 to 05
THE SOUND,"1,330,000",602.78,"2,206",May-26,EAST COAST ROAD,Resale,Strata,56,"23,750",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
FULCRUM,"1,150,000",473.62,"2,428",May-26,FORT ROAD,Resale,Strata,44,"26,136",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
WATER PLACE,"2,200,000","1,216.33","1,809",May-26,TANJONG RHU ROAD,Resale,Strata,113,"19,469",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,01 to 05
MEYER BLUE,"5,573,000","1,733","3,216",May-26,MEYER ROAD,New Sale,Strata,161,"34,615",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
LAGOON VIEW,"1,838,000","1,646.89","1,116",May-26,MARINE PARADE ROAD,Resale,Strata,153,"12,013",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,16 to 20
TEMBUSU GRAND,"3,380,000","1,173.28","2,881",May-26,JALAN TEMBUSU,Sub Sale,Strata,109,"31,009",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,16 to 20
AURALIS,"1,320,000",731.95,"1,803",May-26,EAST COAST ROAD,Resale,Strata,68,"19,412",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE CONTINUUM,"1,480,000",559.73,"2,644",May-26,THIAM SIEW AVENUE,New Sale,Strata,52,"28,462",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
AMBER HOUSE,"5,408,000","1,743.77","3,101",May-26,AMBER GARDENS,New Sale,Strata,162,"33,383",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
THE CONTINUUM,"4,636,000","1,689.95","2,743",May-26,THIAM SIEW AVENUE,New Sale,Strata,157,"29,529",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
