Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE WARREN,CHOA CHU KANG LOOP,23,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",Apr-26
LE QUEST,BUKIT BATOK STREET 41,23,Non-Landed Properties,2,"3,350",50 to 60,500 to 600,Apr-26
THE JADE,BUKIT BATOK CENTRAL LINK,23,Non-Landed Properties,2,"4,100",100 to 110,"1,000 to 1,100",Apr-26
THE HILLIER,HILLVIEW RISE,23,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,Apr-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,NA,"2,800",40 to 50,400 to 500,Apr-26
MI CASA,CHOA CHU KANG AVENUE 3,23,Non-Landed Properties,2,"3,500",90 to 100,"900 to 1,000",Apr-26
LE QUEST,BUKIT BATOK STREET 41,23,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
NORTHVALE,CHOA CHU KANG LOOP,23,Non-Landed Properties,2,"3,350",90 to 100,"1,000 to 1,100",Apr-26
PALM GARDENS,HONG SAN WALK,23,Non-Landed Properties,3,"4,050",110 to 120,"1,200 to 1,300",Apr-26
HILLVIEW 128,HILLVIEW AVENUE,23,Non-Landed Properties,3,"3,750",90 to 100,"1,000 to 1,100",Apr-26
THE ARDEN,PHOENIX ROAD,23,Non-Landed Properties,4,"6,667",110 to 120,"1,200 to 1,300",Apr-26
PARK NATURA,BUKIT BATOK EAST AVENUE 6,23,Non-Landed Properties,3,"5,600",130 to 140,"1,400 to 1,500",Apr-26
ECO SANCTUARY,CHESTNUT AVENUE,23,Non-Landed Properties,2,"3,600",70 to 80,700 to 800,Apr-26
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,23,Non-Landed Properties,3,"4,800",90 to 100,"1,000 to 1,100",Apr-26
THE JADE,BUKIT BATOK CENTRAL LINK,23,Non-Landed Properties,3,"5,000",120 to 130,"1,300 to 1,400",Apr-26
MERAWOODS,HILLVIEW AVENUE,23,Non-Landed Properties,4,"6,100",210 to 220,"2,300 to 2,400",Apr-26
THE HILLIER,HILLVIEW RISE,23,Non-Landed Properties,1,"3,000",50 to 60,500 to 600,Apr-26
THE JADE,BUKIT BATOK CENTRAL LINK,23,Non-Landed Properties,4,"6,000",150 to 160,"1,600 to 1,700",Apr-26
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,23,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,Apr-26
LE QUEST,BUKIT BATOK STREET 41,23,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Apr-26
HILLSTA,PHOENIX ROAD,23,Non-Landed Properties,2,"3,600",90 to 100,"900 to 1,000",Apr-26
DAIRY FARM RESIDENCES,DAIRY FARM LANE,23,Non-Landed Properties,2,"4,100",60 to 70,700 to 800,Apr-26
REGENT GROVE,CHOA CHU KANG NORTH 7,23,Non-Landed Properties,2,"3,200",80 to 90,"900 to 1,000",Apr-26
GLENDALE PARK,HILLVIEW AVENUE,23,Non-Landed Properties,2,"4,200",90 to 100,"1,000 to 1,100",Apr-26
LAUREL TREE,HILLVIEW TERRACE,23,Non-Landed Properties,1,"2,750",40 to 50,400 to 500,Apr-26
FORESQUE RESIDENCES,PETIR ROAD,23,Non-Landed Properties,3,"5,100",100 to 110,"1,100 to 1,200",Apr-26
HILLVIEW PARK,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Apr-26
