Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,400",40 to 50,400 to 500,Jun-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,2,"2,700",50 to 60,600 to 700,Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,2,"3,850",70 to 80,800 to 900,Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,2,"3,600",70 to 80,800 to 900,Jun-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,450",50 to 60,500 to 600,Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,1,"2,550",50 to 60,500 to 600,Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,1,"2,850",50 to 60,600 to 700,Jun-24
ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,3,"4,150",100 to 110,"1,100 to 1,200",Jun-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,200",40 to 50,400 to 500,Jun-24
WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,25,Non-Landed Properties,3,"6,700",200 to 210,"2,100 to 2,200",Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,3,"5,400",100 to 110,"1,100 to 1,200",Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",Jun-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,2,"2,700",50 to 60,600 to 700,Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,3,"3,500",100 to 110,"1,100 to 1,200",Jun-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,2,"3,100",50 to 60,500 to 600,Jun-24
THE WOODGROVE,WOODGROVE DRIVE,25,Non-Landed Properties,3,"4,000",90 to 100,"1,000 to 1,100",Jun-24
ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,2,"3,600",90 to 100,"1,000 to 1,100",Jun-24
WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,25,Non-Landed Properties,3,"5,300",150 to 160,"1,600 to 1,700",Jun-24
THE WOODGROVE,WOODGROVE DRIVE,25,Non-Landed Properties,2,"3,500",70 to 80,800 to 900,Jun-24
WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,25,Non-Landed Properties,3,"6,200",200 to 210,"2,100 to 2,200",Jun-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,450",40 to 50,400 to 500,Jun-24
ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,3,"3,850",100 to 110,"1,100 to 1,200",Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,NA,"7,800",310 to 320,"3,300 to 3,400",Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,1,"3,000",50 to 60,500 to 600,Jun-24
CASABLANCA,ROSEWOOD DRIVE,25,Non-Landed Properties,3,"4,150",100 to 110,"1,100 to 1,200",Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,3,"5,800",100 to 110,"1,100 to 1,200",Jun-24
WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,25,Non-Landed Properties,3,"4,200",110 to 120,"1,100 to 1,200",Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,1,"2,800",50 to 60,500 to 600,Jun-24
WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,25,Non-Landed Properties,3,"7,300",180 to 190,"2,000 to 2,100",Jun-24
ROSEWOOD SUITES,ROSEWOOD DRIVE,25,Non-Landed Properties,4,"6,300",170 to 180,"1,800 to 1,900",Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,2,"3,800",70 to 80,800 to 900,Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,3,"4,850",120 to 130,"1,300 to 1,400",Jun-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Jun-24
WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,25,Non-Landed Properties,3,"5,000",110 to 120,"1,200 to 1,300",Jun-24
WOODHAVEN,WOODGROVE AVENUE,25,Non-Landed Properties,3,"5,500",120 to 130,"1,300 to 1,400",Jun-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,300",40 to 50,400 to 500,Jun-24
WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,25,Non-Landed Properties,3,"4,300",110 to 120,"1,200 to 1,300",Jun-24
WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,25,Non-Landed Properties,3,"4,100",140 to 150,"1,500 to 1,600",Jun-24
ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,3,"3,000",100 to 110,"1,100 to 1,200",Jun-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,400",40 to 50,400 to 500,Jun-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,100",40 to 50,400 to 500,Jun-24
